AE_1,AE_2,status_code
1.530113,1.5419959,1
1.1175077,0.7697164,1
0.99137735,0.55748343,4
1.854172,1.998692,3
1.602546,1.6971843,1
1.5719892,1.5966102,3
1.0669203,0.6731756,4
0.9991965,0.65083945,1
1.3969029,1.1327697,1
1.6807342,1.6915225,1
1.3026607,1.1466084,1
1.7918409,2.0989776,4
1.4008964,1.2601539,1
2.1708457,2.6847796,4
1.4278438,1.2025597,1
1.1703137,0.9148216,1
1.6463859,1.7893088,1
1.0498806,0.65135527,1
0.9117819,0.47616187,1
1.0897893,0.77878106,1
1.2259326,1.0125602,4
1.1550791,0.80589473,2
1.617478,1.6416044,1
1.0651766,0.61260843,1
0.85186243,0.13766292,1
2.207008,2.747154,1
1.5767903,1.7159017,1
2.0826225,2.4066975,1
1.3024316,1.2844933,4
2.061457,2.505968,1
1.5448294,1.6181226,1
1.2061511,0.91776145,1
1.0874257,0.7040986,2
1.0989207,0.84070015,4
0.75314116,0.11498973,4
1.7961005,1.9952357,1
1.4038923,1.2351382,1
1.4739944,1.4958899,1
1.8028759,2.1142235,1
1.5562747,1.6698285,1
1.0389335,0.6038952,3
1.9929416,2.41188,2
1.582053,1.5738217,1
1.0737611,0.72575307,1
2.0885065,2.6675503,1
1.779303,2.0058036,3
1.0804178,0.6510341,1
1.755435,1.9607612,1
1.8932853,2.2247837,4
1.6277988,1.7384374,1
1.3183457,1.2120646,3
1.8679271,2.1333516,1
0.80374587,0.24094924,1
1.665196,1.742099,1
1.6870255,1.7945743,3
1.8198607,1.9110873,1
2.1747825,2.635313,4
0.9583756,0.5384784,1
1.189377,0.9823828,3
1.6051879,1.6071569,3
1.9349824,2.1497989,1
1.6021103,1.5029258,1
1.5640892,1.5588242,1
1.121717,0.77626073,1
1.0612868,0.7096549,1
1.2447177,0.9289216,1
1.5969689,1.6024245,1
2.2328396,2.7597456,1
1.2025586,0.9277679,3
1.4242427,1.1263902,1
1.6200296,1.6761386,1
1.8910494,2.0953686,1
1.1954495,0.94812727,1
1.2296693,0.99668634,4
1.8503768,2.1079059,2
1.3515362,1.2185408,4
2.0223744,2.41775,3
1.5562198,1.5324471,1
1.3471497,1.2521138,1
0.8392576,0.25774363,3
1.5340704,1.5002558,1
1.4342811,1.3470654,1
1.557223,1.3756143,1
1.4012734,1.2654731,1
1.2755235,1.1032081,2
1.2998103,1.0552894,1
1.4218447,1.3326653,2
2.3545609,3.088679,1
1.8085897,2.189783,1
0.95048606,0.4131178,4
2.23457,2.7106657,1
0.9871397,0.44514576,2
0.9819912,0.51892996,1
1.1572957,0.82414865,1
0.8944391,0.34863082,3
1.1907133,0.84779334,1
2.2193146,2.714141,1
1.725563,1.8221306,1
1.310458,0.974401,1
1.4380705,1.4157784,1
2.141772,2.6847641,1
1.6655124,1.8173261,1
1.2707282,0.9549453,1
1.3174304,1.1060213,1
1.1381727,0.80110645,1
1.5693203,1.6444334,1
1.7897911,1.9974306,1
1.2040751,0.9114791,1
1.9858468,2.281363,3
0.82530224,0.06347695,3
1.1070414,0.7374891,1
1.7796024,1.8591332,3
1.2378641,0.90422213,4
0.9775336,0.3714467,1
1.2988784,1.1561638,1
1.4338491,1.2566693,1
1.0680392,0.7104752,1
0.947176,0.50971484,2
1.729548,1.8746359,1
1.8791456,2.0900855,1
1.9664283,2.286345,4
1.7098083,1.7945079,3
1.7053595,1.8095388,1
1.3641212,1.2273568,1
1.6718426,1.8047699,1
1.2000158,0.74574935,1
1.8185904,1.9781907,1
2.2493246,2.7818024,1
1.2372551,0.9899107,1
1.7665312,1.7232146,1
1.3974116,1.5066658,3
1.5182753,1.4972085,1
1.1682324,0.91564345,2
1.7267332,1.7318048,1
1.5244215,1.4848157,1
1.1527767,0.79656005,1
0.90055025,0.33147982,3
1.7753546,1.7687112,4
1.9109751,2.1405761,1
1.7919917,1.9961354,1
1.0123751,0.50676394,1
1.363553,1.1846477,1
2.28442,2.7413285,1
1.2988993,0.9897771,2
0.9938865,0.46090177,1
2.27232,2.8890913,2
1.552414,1.579114,1
1.5844545,1.5146897,2
1.517708,1.3066025,1
1.8376642,2.0174742,1
1.973799,2.1821616,1
1.5900578,1.5441152,1
1.1418105,0.7649169,2
0.92664695,0.41355738,2
1.5959516,1.6051627,4
2.1006715,2.37233,2
0.9748968,0.3884333,1
1.9491913,2.1568403,4
1.5977204,1.6562569,2
1.1213919,0.6481763,1
1.9561089,2.306531,1
1.8206999,1.8219529,2
1.5599737,1.5704806,1
0.8582245,0.18618384,4
1.2888683,0.9944271,1
1.1120276,0.62698925,1
2.1126122,2.5582583,1
1.314283,1.0337645,1
1.3624462,1.1564258,1
1.6830041,1.7192075,1
1.1231287,0.7605648,1
0.79175377,0.12599352,1
1.5655963,1.5242178,3
1.65345,1.7102684,3
1.4705166,1.2668798,1
1.5468192,1.4188905,2
1.8438385,1.9674449,1
1.3273284,1.1079009,1
1.3851043,1.0697972,1
1.5133563,1.2799426,1
2.1722739,2.5523455,4
1.9440119,2.339677,1
1.1616508,0.87223625,3
1.1632282,0.75698924,2
1.6619787,1.7839161,2
1.9333258,2.1688907,1
1.8978333,1.9969988,1
